Job description,Question 12,Question 13,Question 14,Question 15
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,B,C,B
"The International Student Support Advisor is responsible for providing specialized pastoral advice and guidance to international students at Leeds Trinity University. The role involves developing and encouraging student engagement, offering specialist information on visa issues, and assisting with a range of international student welfare and immigration-related concerns. Key duties include delivering welcome and orientation activities, signposting students to appropriate support services, maintaining accurate records of student interactions, and ensuring international students are aware of and engage with available support. The Advisor also delivers staff development sessions, liaises with internal and external agencies, and works closely with the Global Engagement team on matters related to international student mobility. Additionally, the role involves promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,C,A
"The Careers Consultant supports initiatives to embed employability across the curriculum at Leeds Trinity University by contributing to module development and providing holistic Careers Information, Advice, and Guidance (CIAG) to students, apprentices, and graduates. The role involves building networks with academic colleagues, engaging with regional and national employers, and providing one-on-one career guidance, including advice on placements, internships, and graduate opportunities. The Consultant also leads curriculum planning, supports the Career Passport Project, creates educational tools and resources, and teaches on careers-related modules. Additionally, the role includes developing specialist knowledge of labor market trends, organizing employability events, and working collaboratively to enhance student employability. The position requires compliance with GDPR, health and safety regulations, and the promotion of equity and inclusion.",C,B,C,B
"The Race Equality Charter (REC) Mark Co-chair is responsible for providing strategic support and guidance to help Leeds Trinity University achieve the Silver Race Equality Charter (REC) mark. Reporting to the Deputy Vice-Chancellor, the Co-chair collaborates with the Office for Institutional Equity and other team members to oversee the preparation and submission of the REC Silver Award application. Key duties include co-chairing REC group meetings, setting meeting agendas, overseeing the REC budget, providing updates to the LTU Executive, and ensuring engagement and timely delivery of key priorities. The role also involves leading the review of the Bronze application, transitioning to Silver, and developing relationships with AdvanceHE. Additionally, the Co-chair is responsible for overseeing data analysis and reporting related to REC activities and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",D,B,B,A
"The Visa Compliance Officer assists the Visa Compliance Manager in overseeing the University's immigration compliance functions. Key responsibilities include acting as a Level 1 SMS User to issue CAS and perform basic reporting functions, supporting immigration compliance during the admissions process, conducting audits, and ensuring all students, including those at franchise partners, have a valid right to study in the UK. The role involves close collaboration with various departments, hosting immigration advice sessions, assisting with enrolment processes, and staying updated on immigration law developments relevant to higher education. Additionally, the Visa Compliance Officer supports the development of policies and projects, promotes equity and social justice, and ensures compliance with GDPR and health and safety regulations.",C,B,A,E
"The Senior Student Recruitment Officer (Events)  is responsible for raising the profile of Leeds Trinity University and achieving student recruitment and outreach targets by managing on-campus, off-campus, and virtual recruitment events. The role involves planning and delivering events such as Open Days, Offer Holder Days, and postgraduate recruitment activities, while providing guidance and training to academic staff, support staff, and Student Ambassadors. The postholder monitors the effectiveness of these events, manages the Student Ambassador Scheme, and collaborates with Marketing and Communications to ensure targeted and effective outreach. Additionally, the Officer is responsible for expenditure monitoring, representing the recruitment team in meetings, and may deputize for the Student Recruitment and Outreach Manager. The role also includes ensuring GDPR compliance, promoting health and safety, and advancing equity and social justice.",C,B,A,B
"The Head of Procurement is responsible for leading the procurement and sourcing function at Leeds Trinity University, ensuring that all goods and services are sourced centrally or through approved partners, and that supplier management is effective. The role involves developing and implementing the University’s procurement strategy and policies, ensuring legislative compliance, and driving continuous improvement to achieve value for money. Key duties include managing the procurement team, overseeing tendering, contract management, and supplier performance, and providing procurement advice to senior management. The Head of Procurement also cultivates strong relationships with stakeholders and external providers, supports collaborative procurement activities, and ensures that procurement practices meet regulatory requirements. Additionally, the role includes staff management responsibilities, ensuring compliance with GDPR, health and safety, and promoting equality and inclusion.",C,C,C,B
"The Careers Consultant supports initiatives to embed employability across the curriculum at Leeds Trinity University by contributing to module development and providing holistic Careers Information, Advice, and Guidance (CIAG) to students, apprentices, and graduates. The role involves building networks with academic colleagues, engaging with regional and national employers, and providing one-on-one career guidance, including advice on placements, internships, and graduate opportunities. The Consultant also leads curriculum planning, supports the Career Passport Project, creates educational tools and resources, and teaches on careers-related modules. Additionally, the role includes developing specialist knowledge of labor market trends, organizing employability events, and working collaboratively to enhance student employability. The position requires compliance with GDPR, health and safety regulations, and the promotion of equity and inclusion.",C,B,B,E
"The School Partnerships Manager is responsible for developing and maintaining partnerships between Leeds Trinity University and education partners, managing the School Partnership Office (SPO) team to ensure high-quality, compliant placement services for students. Key duties include building partnerships with schools, Multi-Academy Trusts, and ITE providers, developing strategies to promote the University's school-based training offer, ensuring compliance with DfE and other external requirements, and overseeing quality assurance for school partnerships and training placements. The role also involves managing the SPO budget, supporting marketing efforts, preparing for Ofsted inspections, and collaborating with internal stakeholders on student progress tracking and partnership responsibilities. Additionally, the Manager is responsible for promoting equity and social justice, ensuring GDPR compliance, and safeguarding the welfare of others.",C,B,C,B
"The School Partnerships Advisor Team Leader is responsible for managing a team of Placement Advisors to ensure the effective provision of partnership and placement services supporting Initial Teacher Training (ITT) at Leeds Trinity University. The role involves setting team priorities, managing workloads, and overseeing the engagement process with partner schools. Key duties include developing innovative partnership programs, ensuring compliance with Ofsted requirements, sourcing and placing trainees, and maintaining strong relationships with partner schools. The Team Leader also supports the quality assurance of placements, resolves issues during placements, and contributes to mentor training programs. Additionally, the role includes ensuring data compliance with GDPR, promoting equity and social justice, and collaborating with internal stakeholders to enhance placement processes.",C,B,D,A
"The Student Counsellor is responsible for providing confidential counselling services to students at Leeds Trinity University, adhering to the Ethical Framework of the British Association for Counselling and Psychotherapy (BACP). The role involves managing a personal caseload, meeting administrative requirements related to clinical work, and utilizing technology for delivering counselling and support activities. The Counsellor works within a brief therapy model (six sessions), assesses risk, liaises with colleagues involved in student welfare, and attends external supervision as required. The position also includes promoting equity, social justice, and compliance with GDPR, as well as contributing to the University’s student recruitment and retention objectives.",C,C,C,B
"The Finance Business Partner is responsible for building partnerships across the University to lead on financial and resource matters, influencing decision-making, and improving the understanding of business performance. The role involves working closely with budget holders, HR business partners, and the management accounts team to manage budgeting, forecasting, and financial planning. Key duties include monitoring expenditure, preparing financial forecasts, supporting funding bids, developing management information, and contributing to the production of monthly management accounts. The Finance Business Partner also assists with annual budget preparation, provides information for audits, and contributes to improving financial systems. Additionally, the role may involve specific projects such as treasury management and data quality assurance, and deputizing for the Head of Management Accounts and Business Partnering as needed. The position requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",D,B,A,A
"The Director of Programme Management Office and Strategic Change is responsible for leading the delivery of the University's strategic change portfolio, ensuring alignment with the institution's strategic plan. This role involves developing a robust governance framework, overseeing the Programme Management Office (PMO), and ensuring the successful implementation of large-scale projects like the Academic Growth Programme and Digital Futures. The Director will work closely with senior leaders to provide strategic direction, manage resources, and create an environment that supports change adoption. Additional responsibilities include developing continuous improvement practices, managing risk, ensuring effective portfolio governance, and fostering a culture of project and change management across the University. The role also involves leading and developing the PMO team, engaging with stakeholders, and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",D,B,B,A
"The Security Guard is responsible for patrolling and ensuring the security of Leeds Trinity University’s campus, working Monday to Friday between 6 am and 10 pm. Key duties include conducting regular security patrols, responding to alarms and emergencies, addressing incidents of trespass, break-ins, and anti-social behavior, and providing support during university events. The role also involves reporting incidents, assisting with building maintenance checks, performing first aid duties, and supporting the estates team with tasks such as litter collection, snow clearance, and equipment testing. Additionally, the Security Guard is responsible for ensuring compliance with health and safety regulations, promoting equality and inclusion, and carrying out other duties as directed by the Facilities Services Manager.",C,B,C,B
"The Head of Academic Quality and Standards is responsible for leading and managing the implementation and enhancement of the University’s academic quality policies and procedures, ensuring compliance with external bodies like the Office for Students (OfS) and the Quality Assurance Agency (QAA). The role involves providing leadership in academic governance, overseeing the annual review of academic provision, and ensuring the consistent application of academic regulations. The Head also collaborates with key stakeholders on the development and quality management of collaborative provisions, apprenticeships, and work-based learning frameworks. Additionally, the role includes managing student casework, external examining processes, and maintaining an informed position on higher education policy and compliance. The Head contributes to University strategies, analyzes data for high-level reporting, and ensures compliance with GDPR, health, safety, and equity policies.",C,B,C,A
"The Careers Consultant supports initiatives to embed employability across the curriculum at Leeds Trinity University by contributing to module development and providing holistic Careers Information, Advice, and Guidance (CIAG) to students, apprentices, and graduates. The role involves building networks with academic colleagues, engaging with regional and national employers, and providing one-on-one career guidance, including advice on placements, internships, and graduate opportunities. The Consultant also leads curriculum planning, supports the Career Passport Project, creates educational tools and resources, and teaches on careers-related modules. Additionally, the role includes developing specialist knowledge of labor market trends, organizing employability events, and working collaboratively to enhance student employability. The position requires compliance with GDPR, health and safety regulations, and the promotion of equity and inclusion.",C,B,C,B
"The Academic Quality Coordinator provides comprehensive administrative support to maintain definitive programme records and process curriculum modification requests. Key responsibilities include updating and publishing programme and module documentation, ensuring the accuracy of the Programme of Study Catalogue, maintaining the register of Professional, Statutory, and Regulatory Body (PSRB) accreditations, and assisting with curriculum changes. The role also involves managing the Academic Quality web page, supporting academic approval events, and contributing to policy reviews and preparations for external agency visits. Additionally, the Coordinator serves as the 'Data Champion' for the Academic Quality Office, ensuring compliance with GDPR and promoting equity and social justice.",D,D,C,A
"The Accommodation & Conference Assistant provides first-line support for accommodation services, handling inquiries from students, staff, and partners via telephone, email, and face-to-face interactions. The role involves managing bookings and resources for conferences, events, and student accommodation, as well as supporting the Conference & Events Operations Supervisor with resource planning and event coordination. Responsibilities include setting up rooms with necessary equipment, providing technical assistance for online meetings, managing mail services, and handling customer complaints. The Assistant also participates in accommodation events, maintains accurate records, allocates bedrooms, and may deputize for the Supervisor. The role requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",C,B,C,A
"The Accessibility Officer is responsible for promoting and supporting accessibility and reasonable adjustments for all employees across the University, working collaboratively to foster a culture of inclusivity and equity. Key duties include developing and implementing accessibility policies, ensuring compliance with disability-related legislation, providing guidance and support to managers in accommodating employees with disabilities, and conducting assessments to identify and address accessibility barriers. The role also involves monitoring the effectiveness of reasonable adjustments and training, maintaining accurate records, participating in sector networks, and delivering workshops on equity and inclusion. The Accessibility Officer works closely with various teams to advance equity in the workplace while ensuring GDPR compliance and adhering to health and safety policies.",C,B,D,A
"The Race Equality Charter (REC) Mark Co-chair is responsible for providing strategic support and guidance to help Leeds Trinity University achieve the Silver Race Equality Charter (REC) mark. Reporting to the Deputy Vice-Chancellor, the Co-chair collaborates with the Office for Institutional Equity and other team members to oversee the preparation and submission of the REC Silver Award application. Key duties include co-chairing REC group meetings, setting meeting agendas, overseeing the REC budget, providing updates to the LTU Executive, and ensuring engagement and timely delivery of key priorities. The role also involves leading the review of the Bronze application, transitioning to Silver, and developing relationships with AdvanceHE. Additionally, the Co-chair is responsible for overseeing data analysis and reporting related to REC activities and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,B,A
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,B,B,B
"The Administrator (Academic Partnerships) provides dedicated administrative support to the Academic Partnership Unit (APU), handling tasks such as arranging meetings, managing calendars, taking minutes, and maintaining databases. The role serves as the main point of contact for the APU, managing inquiries from University staff, partner staff, and students, while ensuring high levels of customer service. Key responsibilities include supporting internal and external meetings, coordinating travel and training arrangements, preparing reports and presentations, and maintaining accurate records and information within the department. The Administrator ensures compliance with GDPR, promotes equity and social justice, and adheres to health and safety policies while contributing to the overall efficiency and productivity of the office.",D,B,C,B
"The Schools and Colleges Engagement Officer (Widening Participation) is responsible for supporting Leeds Trinity University in achieving its widening participation and student recruitment targets. This role involves planning, preparing, and delivering a range of widening participation initiatives, including pre-16 engagement activities and projects. The postholder designs and delivers presentations and workshops to prospective students, their parents, teachers, and advisors, while also contributing to the University’s Access and Participation Plan (APP) through the collation and evaluation of relevant data. Additionally, the Officer provides training and guidance to staff and student ambassadors, maintains relationships with targeted schools and colleges, coordinates support for care leavers, and collaborates with Marketing and Communications to ensure effective outreach. The role also includes ensuring compliance with GDPR, promoting health and safety, and supporting the University’s commitment to equality, diversity, and inclusion.",C,B,D,A
"The Head of Procurement is responsible for leading the procurement and sourcing function at Leeds Trinity University, ensuring that all goods and services are sourced centrally or through approved partners, and that supplier management is effective. The role involves developing and implementing the University’s procurement strategy and policies, ensuring legislative compliance, and driving continuous improvement to achieve value for money. Key duties include managing the procurement team, overseeing tendering, contract management, and supplier performance, and providing procurement advice to senior management. The Head of Procurement also cultivates strong relationships with stakeholders and external providers, supports collaborative procurement activities, and ensures that procurement practices meet regulatory requirements. Additionally, the role includes staff management responsibilities, ensuring compliance with GDPR, health and safety, and promoting equality and inclusion.",C,B,C,E
"The Race Equality Charter (REC) Mark Co-chair is responsible for providing strategic support and guidance to help Leeds Trinity University achieve the Silver Race Equality Charter (REC) mark. Reporting to the Deputy Vice-Chancellor, the Co-chair collaborates with the Office for Institutional Equity and other team members to oversee the preparation and submission of the REC Silver Award application. Key duties include co-chairing REC group meetings, setting meeting agendas, overseeing the REC budget, providing updates to the LTU Executive, and ensuring engagement and timely delivery of key priorities. The role also involves leading the review of the Bronze application, transitioning to Silver, and developing relationships with AdvanceHE. Additionally, the Co-chair is responsible for overseeing data analysis and reporting related to REC activities and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,B,B
"The Lead Progress Tutor is responsible for line managing a team of progress tutors who support and monitor student officers throughout their academic program. Key duties include planning and overseeing Progress Review meetings, ensuring compliance with apprenticeship standards, and addressing student welfare and development needs. The role involves collaborating with West Yorkshire Police to maintain accurate records of student progress, providing pastoral support, and ensuring that the team is trained and equipped to handle academic and personal issues. The Lead Progress Tutor also advises students on study skills, monitors their progress, and supports them in achieving the required knowledge, skills, and behaviors within the apprenticeship standard. Additionally, the role includes ensuring GDPR compliance, promoting equity and social justice, and performing other duties as directed by the line manager.",C,B,C,A
"The Careers Consultant supports initiatives to embed employability across the curriculum at Leeds Trinity University by contributing to module development and providing holistic Careers Information, Advice, and Guidance (CIAG) to students, apprentices, and graduates. The role involves building networks with academic colleagues, engaging with regional and national employers, and providing one-on-one career guidance, including advice on placements, internships, and graduate opportunities. The Consultant also leads curriculum planning, supports the Career Passport Project, creates educational tools and resources, and teaches on careers-related modules. Additionally, the role includes developing specialist knowledge of labor market trends, organizing employability events, and working collaboratively to enhance student employability. The position requires compliance with GDPR, health and safety regulations, and the promotion of equity and inclusion.",C,B,E,A
"The Race Equality Charter (REC) Mark Co-chair is responsible for providing strategic support and guidance to help Leeds Trinity University achieve the Silver Race Equality Charter (REC) mark. Reporting to the Deputy Vice-Chancellor, the Co-chair collaborates with the Office for Institutional Equity and other team members to oversee the preparation and submission of the REC Silver Award application. Key duties include co-chairing REC group meetings, setting meeting agendas, overseeing the REC budget, providing updates to the LTU Executive, and ensuring engagement and timely delivery of key priorities. The role also involves leading the review of the Bronze application, transitioning to Silver, and developing relationships with AdvanceHE. Additionally, the Co-chair is responsible for overseeing data analysis and reporting related to REC activities and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,E,B
"The Joiner is responsible for providing effective joinery services to maintain and enhance the University fabric, including day-to-day maintenance and project work. The role requires a minimum of five years of trade experience and involves handling breakdowns, reactive and cyclical maintenance, particularly focusing on fire door inspection, repair, and compliance management as per the Fire Safety Regulations (2023). The Joiner will manage fire door records, oversee contractor works, ensure tools and equipment are maintained, and manage material stocks. The role also emphasizes strict adherence to health and safety regulations, conducting risk assessments, and maintaining high standards of professional conduct while ensuring value for money. Continuous professional development is essential, with an expectation to stay updated on regulations and industry standards, including asbestos awareness and CDM. Additionally, the role includes general duties such as GDPR compliance, promoting equity and social justice, and safeguarding the welfare of others.",C,B,A,B
"The Specific Learning Difficulties Practitioner is responsible for providing specialist academic and pastoral support to students with dyslexia and other specific learning difficulties (SpLD) at Leeds Trinity University. The role involves managing a caseload of students with complex needs, developing Student Inclusion Plans (SIPs) and Individual Learning Plans (ILPs), and offering guidance on Disabled Students Allowance (DSA) applications. The Practitioner will deliver one-on-one and small group sessions, monitor student engagement, and devise personalized support strategies. The role also includes developing policies and procedures for disability services, providing staff training on disability support, and liaising with internal and external stakeholders to ensure students are fully included. Additionally, the Practitioner is expected to participate in University committees, maintain up-to-date case notes, and comply with GDPR and health and safety regulations while promoting equity and inclusion.",C,B,A,B
"The Administrator (School of Education) provides efficient administrative leadership for the School of Education, focusing on SCITT partnerships, NPQ programs, and the ECF. Key responsibilities include managing the administration of NPQ and ECF programs from recruitment to assessment, liaising with accredited providers, ensuring compliance with program requirements, and overseeing financial tracking and data accuracy. The role also involves supporting the delivery of Level 7 modules for SCITT partners, coordinating assessment dates, managing payment claims, and contributing to quality assurance processes, including Ofsted inspections. Additionally, the Administrator supports meetings, events, and general School of Education administration while ensuring compliance with GDPR, promoting equity and social justice, and contributing to the University’s student recruitment and retention objectives.",D,B,B,A
"The Head of Academic Quality and Standards is responsible for leading and managing the implementation and enhancement of the University’s academic quality policies and procedures, ensuring compliance with external bodies like the Office for Students (OfS) and the Quality Assurance Agency (QAA). The role involves providing leadership in academic governance, overseeing the annual review of academic provision, and ensuring the consistent application of academic regulations. The Head also collaborates with key stakeholders on the development and quality management of collaborative provisions, apprenticeships, and work-based learning frameworks. Additionally, the role includes managing student casework, external examining processes, and maintaining an informed position on higher education policy and compliance. The Head contributes to University strategies, analyzes data for high-level reporting, and ensures compliance with GDPR, health, safety, and equity policies.",C,C,B,A
"The Specific Learning Difficulties Practitioner is responsible for providing specialist academic and pastoral support to students with dyslexia and other specific learning difficulties (SpLD) at Leeds Trinity University. The role involves managing a caseload of students with complex needs, developing Student Inclusion Plans (SIPs) and Individual Learning Plans (ILPs), and offering guidance on Disabled Students Allowance (DSA) applications. The Practitioner will deliver one-on-one and small group sessions, monitor student engagement, and devise personalized support strategies. The role also includes developing policies and procedures for disability services, providing staff training on disability support, and liaising with internal and external stakeholders to ensure students are fully included. Additionally, the Practitioner is expected to participate in University committees, maintain up-to-date case notes, and comply with GDPR and health and safety regulations while promoting equity and inclusion.",C,C,B,B
"The Head of Student Records and Academic Timetable provides strategic leadership for the Student Administration team, focusing on the Records and Academic Teaching Timetable areas. The role involves reviewing and implementing institutional strategies and policies, ensuring compliance with external regulatory and accrediting bodies, and overseeing the accuracy and format of programme, module, and student data in the records management system. Key duties include leading liaison efforts with external stakeholders, managing the effective registration of students, developing academic timetables, and coordinating award ceremonies. The role also includes managing significant budgets, promoting service improvements, and ensuring staff development, training, and compliance with GDPR, health and safety, and equality regulations.",C,C,C,A
"The City Campus Library Manager & Liaison Librarian is responsible for managing and developing library services at the City Campus, ensuring excellent, customer-focused helpdesk services and frontline operations. The role includes leading the User Services team, enhancing library processes, managing circulation services, and developing the physical library environment. The Liaison Librarian aspect involves acting as the primary contact for one or more of the University’s Faculties, providing high-quality user support, delivering information skills training, developing teaching materials, and managing book budgets. The role also involves collaborating with academic staff, supporting research activities, and contributing to resource budget planning. The Manager is expected to promote equity and inclusion, ensure GDPR compliance, and support the University’s recruitment and retention objectives.",D,B,C,B
"The Head of Grounds is responsible for leading the Grounds section of the Estates Department, ensuring the effective and efficient maintenance of the University’s sports facilities and general estate. Key duties include managing and monitoring grounds staff, planning and implementing annual maintenance programs, managing the grounds budget, and overseeing the maintenance of sports fields and landscaping. The role also involves ensuring compliance with health and safety regulations, managing environmental and biodiversity programs, and overseeing pest control and parking management. Additionally, the Head of Grounds is responsible for supervising the use and maintenance of equipment, organizing training for staff, and supporting the Estates Services Manager with various projects and maintenance requests. The role requires promoting equity, social justice, and compliance with GDPR and health and safety policies.",D,B,C,A
"The International Student Support Advisor is responsible for providing specialized pastoral advice and guidance to international students at Leeds Trinity University. The role involves developing and encouraging student engagement, offering specialist information on visa issues, and assisting with a range of international student welfare and immigration-related concerns. Key duties include delivering welcome and orientation activities, signposting students to appropriate support services, maintaining accurate records of student interactions, and ensuring international students are aware of and engage with available support. The Advisor also delivers staff development sessions, liaises with internal and external agencies, and works closely with the Global Engagement team on matters related to international student mobility. Additionally, the role involves promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,E,E
"The Race Equality Charter (REC) Mark Co-chair is responsible for providing strategic support and guidance to help Leeds Trinity University achieve the Silver Race Equality Charter (REC) mark. Reporting to the Deputy Vice-Chancellor, the Co-chair collaborates with the Office for Institutional Equity and other team members to oversee the preparation and submission of the REC Silver Award application. Key duties include co-chairing REC group meetings, setting meeting agendas, overseeing the REC budget, providing updates to the LTU Executive, and ensuring engagement and timely delivery of key priorities. The role also involves leading the review of the Bronze application, transitioning to Silver, and developing relationships with AdvanceHE. Additionally, the Co-chair is responsible for overseeing data analysis and reporting related to REC activities and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,C,B
"The Schools Placement Advisor is responsible for providing a comprehensive placement management service to support Initial Teacher Education (ITE) across Primary, Secondary, SCITT, and School Direct programs. Key duties include sourcing suitable placement opportunities, maintaining effective communication with stakeholders, and developing innovative partnership programs for partner schools. The role involves placing teacher trainees in educational establishments, ensuring compliance with DfE guidelines, advising trainees on placements, and resolving issues that may arise during placements. The Advisor also monitors and reviews placements to sustain and develop partnerships, maintains accurate records, and supports partnership quality through external moderation and review processes. Additionally, the role includes promoting equity and social justice, ensuring GDPR compliance, and contributing to the overall operations of the School Partnerships Office.",C,B,D,B
"The Directorate Support Officer provides high-level secretarial and administrative support to the Executive Director of People and Culture, as well as assistance to the senior leadership team. Key responsibilities include managing the Executive Director's diary and inbox, coordinating meetings, handling sensitive and confidential information, and facilitating communication with internal and external stakeholders. The role also involves servicing Directorate meetings, supporting projects and initiatives, assisting with budget planning and financial management, and maintaining electronic and physical filing systems. The Directorate Support Officer is expected to ensure compliance with GDPR, promote equity and social justice, and support the University's student recruitment and retention objectives.",C,B,B,A
"The School Partnerships Senior Administrator is responsible for providing senior administrative support for the day-to-day operations of the School Partnerships Office (SPO), overseeing the work of the SPO administrator. Key duties include managing the organization and efficiency of the office, maintaining accurate records on the Placement Management System, managing shared inboxes, and ensuring compliance with internal and external requirements, including Ofsted. The role involves designing and implementing administrative systems, overseeing the Mentor onboarding process, and contributing to the quality assurance of programs supported by the SPO. The Senior Administrator is also responsible for maintaining high levels of confidentiality, staying updated with university policies, and promoting equity, social justice, and GDPR compliance.",C,B,C,A
"The School Partnerships Senior Administrator is responsible for providing senior administrative support for the day-to-day operations of the School Partnerships Office (SPO), overseeing the work of the SPO administrator. Key duties include managing the organization and efficiency of the office, maintaining accurate records on the Placement Management System, managing shared inboxes, and ensuring compliance with internal and external requirements, including Ofsted. The role involves designing and implementing administrative systems, overseeing the Mentor onboarding process, and contributing to the quality assurance of programs supported by the SPO. The Senior Administrator is also responsible for maintaining high levels of confidentiality, staying updated with university policies, and promoting equity, social justice, and GDPR compliance.",C,B,B,E
"The Assistant Academic Quality Officer (Partnerships) is responsible for supporting the development, enhancement, implementation, and management of academic quality policies and procedures related to collaborative partnership activities. Key duties include maintaining collaborative development and approval schedules, managing quality assurance processes, and designing and delivering guidance and training for University and partner staff. The role also involves facilitating the review and development of academic policies, monitoring quality assurance processes, drafting annual reports, and representing the Academic Quality Office in institutional and external groups. Additionally, the Officer may travel domestically and occasionally overseas to manage collaborative provision quality, and must stay informed of sector developments, ensuring compliance with GDPR, health and safety, and promoting equity and social justice.",C,B,A,B
"The Director of Programme Management Office and Strategic Change is responsible for leading the delivery of the University's strategic change portfolio, ensuring alignment with the institution's strategic plan. This role involves developing a robust governance framework, overseeing the Programme Management Office (PMO), and ensuring the successful implementation of large-scale projects like the Academic Growth Programme and Digital Futures. The Director will work closely with senior leaders to provide strategic direction, manage resources, and create an environment that supports change adoption. Additional responsibilities include developing continuous improvement practices, managing risk, ensuring effective portfolio governance, and fostering a culture of project and change management across the University. The role also involves leading and developing the PMO team, engaging with stakeholders, and promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,D,B
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,B,B,B
"The Student Counsellor is responsible for providing confidential counselling services to students at Leeds Trinity University, adhering to the Ethical Framework of the British Association for Counselling and Psychotherapy (BACP). The role involves managing a personal caseload, meeting administrative requirements related to clinical work, and utilizing technology for delivering counselling and support activities. The Counsellor works within a brief therapy model (six sessions), assesses risk, liaises with colleagues involved in student welfare, and attends external supervision as required. The position also includes promoting equity, social justice, and compliance with GDPR, as well as contributing to the University’s student recruitment and retention objectives.",C,B,A,B
"The Head of Careers and Placements provides strategic and operational leadership within the Careers+Placements division of the Graduate Outcomes and Enterprise Directorate, overseeing multiple teams to ensure the achievement of institutional Graduate Outcome KPIs. The role involves managing staff performance, developing innovative career education and placement strategies, and ensuring compliance with quality standards. Key responsibilities include benchmarking against sector best practices, collaborating with academic and industry partners, leading employer engagement, and ensuring the quality of placement opportunities. The Head also plays a crucial role in monitoring strategic action plans, leading strategic projects, and engaging with external organizations to enhance graduate outcomes. Additionally, the role involves promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,A,E
"The International Student Support Advisor is responsible for providing specialized pastoral advice and guidance to international students at Leeds Trinity University. The role involves developing and encouraging student engagement, offering specialist information on visa issues, and assisting with a range of international student welfare and immigration-related concerns. Key duties include delivering welcome and orientation activities, signposting students to appropriate support services, maintaining accurate records of student interactions, and ensuring international students are aware of and engage with available support. The Advisor also delivers staff development sessions, liaises with internal and external agencies, and works closely with the Global Engagement team on matters related to international student mobility. Additionally, the role involves promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,A,B
